id,商品名,DB有効成分,DB分類,前回採用製品名,前回判明成分,出典URL,正の有効成分(再確認),DB成分は正しいか(○/×/要確認),商品名は一意か(○/×/複数),判断根拠
P14,プロパティ,プロピコナゾール,fungicide,プロパティフロアブル（登録成分は入力値と不一致の可能性）,,https://pesticide.maff.go.jp/,ピリオフェノン,×,○,採用: プロパティフロアブル。成分はピリオフェノン。いちごのうどんこ病登録あり。
P15,ベネピア,ベノミル,fungicide,「ベネピア」は製品名を確定できず（ベネビアOD等との混同可能性）,,https://pesticide.maff.go.jp/,要確認（ベネビアODを意図した場合はシアントラニリプロール）,要確認,×,「ベネピア」という登録製品を特定できない。類似名のベネビアODなら成分はシアントラニリプロールだが、原名の確認が必要。
P16,ファンベル,フルジオキソニル,fungicide,ファンベル顆粒水和剤（登録成分は入力値と不一致）,,https://www.kumiai-chem.co.jp/products/document/fanbell_wdg.html,イミノクタジンアルベシル酸塩・ピリベンカルブ,×,○,採用: ファンベル顆粒水和剤。成分はイミノクタジンアルベシル酸塩・ピリベンカルブ。いちご登録あり。
P17,カナメ,メパニピリム,fungicide,カナメフロアブル,インピルフルキサム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,インピルフルキサム,×,○,採用: カナメフロアブル。成分はインピルフルキサム。
P18,アフェット,イミノクタジン,fungicide,アフェットフロアブル,ペンチオピラド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ペンチオピラド,×,○,採用: アフェットフロアブル。成分はペンチオピラド。
P19,アベンジャー,イプロジオン,fungicide,アベンジャーフロアブル（規格・いちご登録量は要確認）,,https://pesticide.maff.go.jp/,フロメトキン,×,○,採用: アベンジャーフロアブル。成分はフロメトキン。製品は殺虫剤でDB分類とも不整合。
P20,カウンター,キャプタン,fungicide,カウンター乳剤,ノバルロン,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ノバルロン,×,○,採用: カウンター乳剤。成分はノバルロン。
P21,ジーファイン,チオファネートメチル,fungicide,ジーファイン水和剤,無水硫酸銅,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,無水硫酸銅,×,○,採用: ジーファイン水和剤。成分は無水硫酸銅。
P22,サンクリ,イミノクタジン,fungicide,サンクリスタル乳剤,脂肪酸グリセリド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,脂肪酸グリセリド,×,○,採用: サンクリスタル乳剤。成分は脂肪酸グリセリド。
P23,ヨーバル,イミノクタジン,fungicide,ヨーバルフロアブル（入力成分・分類を要確認）,,https://pesticide.maff.go.jp/,テトラニリプロール,×,○,採用: 兼商ヨーバルフロアブル。成分はテトラニリプロール。製品は殺虫剤でDB分類とも不整合。
P24,グレーシア,イミノクタジン,fungicide,グレーシア乳剤,フルキサメタミド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,フルキサメタミド,×,○,採用: グレーシア乳剤。成分はフルキサメタミド。
P25,フルピカ,フルジオキソニル,fungicide,フルピカフロアブル,メパニピリム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,メパニピリム,×,○,採用: フルピカフロアブル。成分はメパニピリム。
P26,オラクル水和剤,イミノクタジン,fungicide,オラクル顆粒水和剤,アミスルブロム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,アミスルブロム,×,×,採用候補: オラクル顆粒水和剤。成分はアミスルブロム。入力名の剤型「水和剤」は正式名と不一致。
P28,セイピア,ピリベンカルブ,fungicide,「セイピア」は製品を一意に特定できず,,https://pesticide.maff.go.jp/,要確認（セイビアーフロアブル20を意図した場合はフルジオキソニル）,要確認,×,「セイピア」という登録製品を特定できない。類似名のセイビアーフロアブル20なら成分はフルジオキソニル。原名の確認が必要。
P29,ファインセーブフロアブル,フルジオキソニル,fungicide,ファインセーブフロアブル,フロメトキン,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,フロメトキン,×,○,採用: ファインセーブフロアブル。成分はフロメトキン。
P32,ショウチノスケフロアブル,イミノクタジン,fungicide,ショウチノスケフロアブル,フルチアニル・メパニピリム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,フルチアニル・メパニピリム,×,○,採用: ショウチノスケフロアブル。成分はフルチアニル・メパニピリム。
P33,スコア顆粒水和剤,ジフェノコナゾール,fungicide,スコア顆粒水和剤,ジフェノコナゾール,https://pesticide.maff.go.jp/,ジフェノコナゾール,○,○,採用: スコア顆粒水和剤。成分はジフェノコナゾールでDBと一致。
P34,セイビアーフロアブル20,フルアジナム,fungicide,セイビアーフロアブル20,フルジオキソニル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,フルジオキソニル,×,○,採用: セイビアーフロアブル20。成分はフルジオキソニル。
P35,ハーモメイト水溶剤,キャプタン,fungicide,ハーモメイト水溶剤,炭酸水素ナトリウム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,炭酸水素ナトリウム,×,○,採用: ハーモメイト水溶剤。成分は炭酸水素ナトリウム。
P36,パンチョTF顆粒水和剤,フルアジナム＋他,fungicide,パンチョTF顆粒水和剤,シフルフェナミド・トリフルミゾール,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,シフルフェナミド・トリフルミゾール,×,○,採用: パンチョTF顆粒水和剤。成分はシフルフェナミド・トリフルミゾール。
P37,ラミック顆粒水和剤,マンジプロパミド,fungicide,ラミック顆粒水和剤,,https://pesticide.maff.go.jp/,イミノクタジンアルベシル酸塩・ピリオフェノン,×,○,採用: 石原ラミック顆粒水和剤。成分はイミノクタジンアルベシル酸塩・ピリオフェノン。いちご登録あり。
P38,ベンレート,ベノミル,fungicide,ベンレート水和剤,ベノミル,https://pesticide.maff.go.jp/,ベノミル,○,○,採用: ベンレート水和剤。成分はベノミルでDBと一致。
P40,コサイド300,銅水和剤,fungicide,コサイド3000,水酸化第二銅,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,水酸化第二銅,×,×,採用候補: コサイド3000。成分は水酸化第二銅。入力名「コサイド300」は正式製品名と不一致。
P42,コテツ,スピノサド,insecticide,コテツフロアブル,クロルフェナピル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,クロルフェナピル,×,○,採用: コテツフロアブル。成分はクロルフェナピル。
P43,プレオ,ピメトロジン,insecticide,プレオフロアブル,ピリダリル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ピリダリル,×,○,採用: プレオフロアブル。成分はピリダリル。
P45,トルネード,クロルフェナピル,insecticide,トルネードエースDF,インドキサカルブ,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,インドキサカルブ,×,○,採用: トルネードエースDF。成分はインドキサカルブ。
P47,ラリー,ピリダベン,insecticide,ラリー水和剤,ミクロブタニル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ミクロブタニル,×,○,採用: ラリー水和剤。成分はミクロブタニル。
P48,トクチオン,クロルピリホス,insecticide,トクチオン細粒剤F,プロチオホス,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,プロチオホス,×,○,採用: トクチオン細粒剤F。成分はプロチオホス。
P50,ベストガード,クロチアニジン,insecticide,ベストガード水溶剤,ニテンピラム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ニテンピラム,×,○,採用: ベストガード水溶剤。成分はニテンピラム。
P51,ムシラップ,クロチアニジン,insecticide,ムシラップ,ソルビタン脂肪酸エステル,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ソルビタン脂肪酸エステル,×,○,採用: ムシラップ。成分はソルビタン脂肪酸エステル。
P53,コロマイト,フェンピロキシメート,acaricide,コロマイト水和剤,ミルベメクチン,https://www.mc-croplifesolutions.com/products/19656/,ミルベメクチン,×,○,採用: コロマイト水和剤。成分はミルベメクチン。
P54,スターマイト,テトラジホン,acaricide,スターマイトフロアブル,シエノピラフェン,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,シエノピラフェン,×,○,採用: スターマイトフロアブル。成分はシエノピラフェン。
P55,バリアード,ヘキサチアゾクス,acaricide,バリアード顆粒水和剤,チアクロプリド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,チアクロプリド,×,○,採用: バリアード顆粒水和剤。成分はチアクロプリド。
P56,ダニサラバ,ミルベメクチン,acaricide,ダニサラバフロアブル,シフルメトフェン,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,シフルメトフェン,×,○,採用: ダニサラバフロアブル。成分はシフルメトフェン。
P57,ダニコング,ミルベメクチン,acaricide,ダニコングはダブルフェースフロアブルの流通名として採用,ピフルブミド・フェンピロキシメート,https://www.nichino.co.jp/products/query/id2.php?id=424,ピフルブミド,×,○,採用: ダニコングフロアブル。成分はピフルブミド。ダブルフェースとは別登録製品。
P58,マイトコーネ,テトラジホン,acaricide,マイトコーネフロアブル,ビフェナゼート,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,ビフェナゼート,×,○,採用: マイトコーネフロアブル。成分はビフェナゼート。
P59,アーデント水和剤,ピリダベン,acaricide,アーデント水和剤,アクリナトリン,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,アクリナトリン,×,○,採用: アーデント水和剤。成分はアクリナトリン。
P60,ウララDF,フルフェノクスロン,insecticide,ウララDF,フロニカミド,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,フロニカミド,×,○,採用: ウララDF。成分はフロニカミド。
P62,ディアナSC,スピロメシフェン,acaricide,ディアナSC,スピネトラム,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,スピネトラム,×,○,採用: ディアナSC。成分はスピネトラム。
P64,バロックフロアブル,クロルフェナピル,insecticide,バロックフロアブル,エトキサゾール,https://www.city.hokota.lg.jp/data/doc/1734312316_doc_40_0.pdf,エトキサゾール,×,○,採用: バロックフロアブル。成分はエトキサゾール。
P65,オルフィンフロアブル,ピリダベン,acaricide,オルフィンフロアブル,,https://pesticide.maff.go.jp/,フルオピラム,×,○,採用: オルフィンフロアブル。成分はフルオピラム。登録は2024年12月10日失効済みのため使用時は現物ラベル等を確認。
P66,ガッテン乳剤,クロルフェナピル,insecticide,ガッテン乳剤,,https://pesticide.maff.go.jp/,フルチアニル,×,○,採用: ガッテン乳剤。成分はフルチアニル。製品は殺菌剤でDB分類とも不整合。
,,,,,,,,,,
要確認リスト,,,,,,,,,,
id,理由,確認事項,,,,,,,,
P15,「ベネピア」は登録製品として特定不能,元データの商品名を確認。ベネビアODならシアントラニリプロール。,,,,,,,,
P28,「セイピア」は登録製品として特定不能,元データの商品名を確認。セイビアーフロアブル20ならフルジオキソニル。,,,,,,,,
